date,stock,open,high,low,close,volume,positive_sent,negative_sent,neutral_sent,sent_score,has_disclosure,sma_20,ema_12,ema_26,macd,signal_line,macd_histogram,rsi,next_close,price_change_pct,target,target_encoded
2023-01-03,AP,34.2,35.25,34.2,35.25,1161800,0.0,0.0,1.0,0.0,0,33.895,34.04032619228732,33.95582301147873,0.0845031808085892,-0.0347466344432138,0.1192498152518031,62.83185840707969,35.0,-0.7092198581560284,FLAT,1.0
2023-01-04,AP,35.25,35.6,34.9,35.0,1535800,0.0,0.0,1.0,0.0,0,33.945,34.18796831655081,34.033169455072894,0.1547988614779143,0.0031624647410117,0.1516363967369025,61.20689655172412,34.7,-0.857142857142849,FLAT,1.0
2023-01-05,AP,35.0,35.5,34.65,34.7,2953700,0.0,0.0,1.0,0.0,0,34.002500000000005,34.26674242169684,34.08256431025268,0.1841781114441616,0.0393655940816417,0.1448125173625199,59.66386554621856,33.9,-2.3054755043227786,DOWN,0.0
2023-01-06,AP,34.7,34.7,33.9,33.9,3541000,0.0,0.0,1.0,0.0,0,34.0125,34.21032051066656,34.06904102801174,0.1412794826548165,0.0597483717962766,0.0815311108585398,47.96747967479675,35.0,3.2448377581120984,UP,2.0
2023-01-09,AP,34.2,35.0,34.2,35.0,1531700,0.0,0.0,1.0,0.0,0,34.0325,34.3318096628717,34.13800095186272,0.1938087110089768,0.0865604396388167,0.10724827137016,55.86206896551726,34.7,-0.857142857142849,FLAT,1.0
2023-01-10,AP,34.9,34.95,34.55,34.7,361600,0.0,0.0,1.0,0.0,0,34.057500000000005,34.38845433012221,34.179630510984005,0.2088238191382032,0.111013115538694,0.0978107035995092,54.72972972972976,35.9,3.458213256484137,UP,2.0
2023-01-11,AP,34.75,35.95,34.75,35.9,2630000,0.0,0.0,1.0,0.0,0,34.1625,34.62099981779571,34.30706528794816,0.3139345298475575,0.1515973984004667,0.1623371314470907,68.62745098039221,36.1,0.5571030640668604,FLAT,1.0
2023-01-12,AP,35.95,36.2,35.5,36.1,1885700,0.0,0.0,1.0,0.0,0,34.282500000000006,34.8485383073656,34.439875266618664,0.4086630407469371,0.2030105268697608,0.2056525138771763,69.23076923076927,38.0,5.263157894736838,UP,2.0
2023-01-13,AP,36.35,38.55,36.35,38.0,7986000,0.0,0.0,1.0,0.0,0,34.505,35.33337856777089,34.7035882098321,0.6297903579387949,0.2883664930835676,0.3414238648552272,73.0337078651686,39.3,3.42105263157894,UP,2.0
2023-01-16,AP,38.0,39.4,37.95,39.3,7689600,0.0,0.0,1.0,0.0,0,34.7625,35.94362801888306,35.04406315725194,0.89956486163112,0.4106061667930781,0.4889586948380419,80.00000000000001,38.5,-2.035623409669204,DOWN,0.0
2023-01-17,AP,39.35,39.4,38.0,38.5,2071300,0.0,0.0,1.0,0.0,0,34.980000000000004,36.33691601597798,35.30005847893698,1.0368575370409945,0.5358564408426614,0.5010010961983329,72.50000000000003,38.15,-0.9090909090909128,FLAT,1.0
2023-01-18,AP,38.5,38.5,38.15,38.15,322700,0.0,0.0,1.0,0.0,0,35.1875,36.61585201351983,35.51116525827498,1.104686755244849,0.6496225037230989,0.45506425152175,72.13930348258707,37.7,-1.1795543905635535,DOWN,0.0
2023-01-19,AP,38.0,38.0,37.5,37.7,1373000,0.0,0.0,1.0,0.0,0,35.42,36.78264401143986,35.673301165069425,1.1093428463704311,0.7415665722525654,0.3677762741178659,68.13725490196082,37.65,-0.1326259946949715,FLAT,1.0
2023-01-20,AP,37.7,38.65,37.55,37.65,992100,0.0,0.0,1.0,0.0,0,35.6475,36.91608339429526,35.81972330099021,1.0963600933050517,0.8125252764630626,0.2838348168419888,67.64705882352942,37.8,0.3984063745019883,FLAT,1.0
2023-01-23,AP,37.65,38.2,37.5,37.8,620500,0.0,0.0,1.0,0.0,0,35.842499999999994,37.052070564403685,35.966410463879825,1.0856601005238602,0.8671522412752222,0.218507859248638,63.93442622950819,37.95,0.3968253968254119,FLAT,1.0
2023-01-24,AP,37.8,38.75,37.8,37.95,1045200,0.0,0.0,1.0,0.0,0,36.0675,37.19021355449543,36.11334302211095,1.0768705323844827,0.9090958994970744,0.1677746328874083,66.29834254143648,37.75,-0.527009222661404,FLAT,1.0
2023-01-25,AP,37.95,37.95,37.75,37.75,624100,0.0,0.0,1.0,0.0,0,36.255,37.27633454611152,36.23457687232495,1.04175767378657,0.9356282543549737,0.1061294194315966,67.03910614525137,37.95,0.5298013245033188,FLAT,1.0
2023-01-26,AP,37.75,38.4,37.75,37.95,1154100,0.0,0.0,1.0,0.0,0,36.4675,37.379975385171285,36.361645252152734,1.0183301330185517,0.9521686300876891,0.0661615029308622,74.25149700598804,37.95,0.0,FLAT,1.0
2023-01-27,AP,37.95,38.1,37.85,37.95,526300,0.0,0.0,1.0,0.0,0,36.665,37.46767147976032,36.47930115940068,0.9883703203596426,0.95940896814208,0.0289613522175625,70.34482758620692,37.1,-2.239789196310939,DOWN,0.0
2023-01-30,AP,37.95,37.95,37.05,37.1,1232500,0.0,0.0,1.0,0.0,0,36.8175,37.41110663672027,36.525278851296925,0.885827785423345,0.944692731598333,-0.058864946174988,65.38461538461536,36.2,-2.425876010781668,DOWN,0.0
